"id","name","inn","opf_short","name_full_with_opf","ca_type","branch_type","ogrn","ogrn_date","fio_surname","fio_name","fio_patronymic","management_post","management_disqualified","management_name","email","address_full","address","status","actuality_date","registration_date","liquidation_date","is_archived","description","group_name"
80,КОМУС,"7721793895",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМУС""",LEGAL,MAIN,"1137746399801",2013-05-06 03:00:00.000,,,,Генеральный директор,,Гречишкин Константин Алексеевич,,"111250, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЛЕФОРТОВО, ПРОЕЗД ЗАВОДА СЕРП И МОЛОТ, Д. 10, ЭТАЖ 7, ПОМЕЩ./КОМ. XXXIX/23","111250, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЛЕФОРТОВО, ПРОЕЗД ЗАВОДА СЕРП И МОЛОТ, Д. 10, ЭТАЖ 7, ПОМЕЩ./КОМ. XXXIX/23",ACTIVE,2022-06-07 03:00:00.000,2013-05-06 03:00:00.000,,false,autoloaded by counteragentcreate.py,
81,КОМФОРТ ПЛЮС,"8621002502",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМФОРТ ПЛЮС""",LEGAL,MAIN,"1128607000279",2012-08-02 03:00:00.000,,,,Директор,,Молчанова Людмила Николаевна,,"628661, Ханты-Мансийский автономный округ - Югра, Г. ПОКАЧИ, УЛ. КОМСОМОЛЬСКАЯ, Д.6/1","Ханты-Мансийский Автономный округ - Югра, г Покачи, ул Комсомольская, д 6/1",ACTIVE,2023-01-11 03:00:00.000,2012-08-02 03:00:00.000,,false,autoloaded by counteragentcreate.py,
82,КОНКОРД М,"7715640700",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНКОРД М""",LEGAL,MAIN,"5077746317732",2007-03-16 03:00:00.000,,,,Генеральный директор,,Ратникова Елена Владимировна,,"119333, ГОРОД МОСКВА, ПР-КТ ЛЕНИНСКИЙ, Д. 52, ПОДВ. ПОМ II/КОМ 4","г Москва, Ленинский пр-кт, д 52, помещ II ком 4",ACTIVE,2022-06-08 03:00:00.000,2007-03-16 03:00:00.000,,false,autoloaded by counteragentcreate.py,
83,КОНТИНЕНТАЛЬ,"7710439130",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТИНЕНТАЛЬ""",LEGAL,MAIN,"1027710011537",2002-10-01 03:00:00.000,,,,Генеральный директор,,Грабовец Сергей Васильевич,,"123001, ГОРОД МОСКВА, ПЕР. КОЗИХИНСКИЙ Б., Д. 22, СТР 1, Э 5 ПОМ I КОМ 9","г Москва, пер Козихинский Б., д 22 стр 1, помещ I ком 9",ACTIVE,2022-11-06 03:00:00.000,2002-10-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
84,КОНЦЕССИИ ВОДОСНАБЖЕНИЯ,"3460019060",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕССИИ ВОДОСНАБЖЕНИЯ""",LEGAL,MAIN,"1143443032468",2014-11-26 03:00:00.000,,,,Директор,,Цыбульников Дмитрий Васильевич,,"400050, Волгоградская область, Г. ВОЛГОГРАД, УЛ. ИМ. ПАРХОМЕНКО, Д. 47А","г Волгоград, ул им. Пархоменко, д 47А",ACTIVE,2023-03-29 03:00:00.000,2014-11-26 03:00:00.000,,false,autoloaded by counteragentcreate.py,
85,КРОНОС ГРУПП,"7726458410",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРОНОС ГРУПП""",LEGAL,MAIN,"1197746605935",2019-10-09 03:00:00.000,,,,Генеральный директор,,Арепьева Наталья Алексеевна,,"129301, Г.Москва, УЛ. КОСМОНАВТОВ, Д. 18, К. 3, ЭТАЖ 2 КОМН 19","г Москва, ул Космонавтов, д 18 к 3, ком 19, 19",ACTIVE,2023-03-28 03:00:00.000,2019-10-09 03:00:00.000,,false,autoloaded by counteragentcreate.py,
86,КРОНШТЕЙН СЕРВИС,"7716857092",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРОНШТЕЙН СЕРВИС""",LEGAL,MAIN,"1177746457976",2017-05-05 03:00:00.000,,,,Генеральный директор,,Проценко Игорь Григорьевич,,"129344, ГОРОД МОСКВА, УЛ. РАДУЖНАЯ, Д. 5, К. 1, КВ. 35","г Москва, ул Радужная, д 5 к 1, кв 35",ACTIVE,2018-10-04 03:00:00.000,2017-05-05 03:00:00.000,,false,autoloaded by counteragentcreate.py,
87,Ксенофонтов Андрей Николаевич,"231502520200",ИП,Индивидуальный предприниматель Ксенофонтов Андрей Николаевич,INDIVIDUAL,,"304231521900075",2004-08-06 03:00:00.000,Ксенофонтов,Андрей,Николаевич,,,,,"КРАЙ КРАСНОДАРСКИЙ, ГОРОД НОВОРОССИЙСК, СЕЛО МЫСХАКО","Краснодарский край, г Новороссийск, село Мысхако",ACTIVE,2021-06-17 03:00:00.000,2000-01-31 03:00:00.000,,false,autoloaded by counteragentcreate.py,
88,КТБ НИИЖБ,"7720479397",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КТБ НИИЖБ""",LEGAL,MAIN,"1197746516032",2019-08-19 03:00:00.000,,,,Генеральный директор,,Катаев Дмитрий Юрьевич,,"109428, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ РЯЗАНСКИЙ, УЛ 2-Я ИНСТИТУТСКАЯ, Д. 6, СТР. 64, ЭТАЖ 5, ПОМЕЩ. 24","г Москва, ул 2-я Институтская, д 6 стр 64, помещ 24",ACTIVE,2022-11-22 03:00:00.000,2019-08-19 03:00:00.000,,false,autoloaded by counteragentcreate.py,
89,Кузин Сергей Николаевич,"212802282250",ИП,Индивидуальный предприниматель Кузин Сергей Николаевич,INDIVIDUAL,,"315501200005550",2015-06-03 03:00:00.000,Кузин,Сергей,Николаевич,,,,,"ОБЛАСТЬ МОСКОВСКАЯ, ГОРОД РЕУТОВ","Московская обл, г Реутов",ACTIVE,2023-03-14 03:00:00.000,2015-06-03 03:00:00.000,,false,autoloaded by counteragentcreate.py,
90,КОНСАЛТИНГОВАЯ ФИРМА ЭКСПЕРТ,"8607008894",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОНСАЛТИНГОВАЯ ФИРМА ""ЭКСПЕРТ""",LEGAL,MAIN,"1028601419406",2002-12-04 03:00:00.000,,,,Директор,,Спирина Тамара Ивановна,,"628672, АВТОНОМНЫЙ ОКРУГ ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, Г. ЛАНГЕПАС, УЛ. СОЛНЕЧНАЯ, Д.21/2","Ханты-Мансийский Автономный округ - Югра, г Лангепас, ул Солнечная, д 21/2",ACTIVE,2022-11-15 03:00:00.000,2001-12-27 03:00:00.000,,false,autoloaded by counteragentcreate.py,
91,ЛАБОРАТОРИЯ НОВЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ЛАНИТ,"7727004113",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ЛАБОРАТОРИЯ НОВЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ""ЛАНИТ""",LEGAL,MAIN,"1027739031572",2002-07-31 03:00:00.000,,,,Генеральный директор,,Казин Алексей Дмитриевич,,"105066, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ БАСМАННЫЙ, УЛ ДОБРОСЛОБОДСКАЯ, Д. 5, ПОМЕЩ. I, ЭТАЖ/КОМ. 2/17Д","105066, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ БАСМАННЫЙ, УЛ ДОБРОСЛОБОДСКАЯ, Д. 5, ПОМЕЩ. I, ЭТАЖ/КОМ. 2/17Д",ACTIVE,2023-03-23 03:00:00.000,1993-01-10 03:00:00.000,,false,autoloaded by counteragentcreate.py,
92,ЛАНИТ ТРЕЙДИНГ,"7722618230",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАНИТ ТРЕЙДИНГ""",LEGAL,MAIN,"1077758213356",2007-07-23 03:00:00.000,,,,Генеральный директор,,Васильковский Александр Анатольевич,,"129075, ГОРОД МОСКВА, ПР-Д МУРМАНСКИЙ, Д. 14, К. 1, ЭТ 5 ПОМ А КОМ 11","129075, ГОРОД МОСКВА, ПР-Д МУРМАНСКИЙ, Д. 14, К. 1, ЭТ 5 ПОМ А КОМ 11",ACTIVE,2022-11-10 03:00:00.000,2007-07-23 03:00:00.000,,false,autoloaded by counteragentcreate.py,
94,ЛУКОЙЛ-ИНТЕР-КАРД,"3444197347",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ИНТЕР-КАРД""",LEGAL,MAIN,"1123444007070",2012-10-01 03:00:00.000,,,,Генеральный директор,,Филиппов Алексей Викторович,,"115035, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЗАМОСКВОРЕЧЬЕ, УЛ БОЛЬШАЯ ОРДЫНКА, Д. 3","г Москва, ул Большая Ордынка, д 3",ACTIVE,2022-12-12 03:00:00.000,2012-10-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
95,ЛИНИЯ КОНСУЛЬТАЦИЙ РУНА,"7727234950",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИНИЯ КОНСУЛЬТАЦИЙ РУНА""",LEGAL,MAIN,"1027727017823",2002-12-18 03:00:00.000,,,,Генеральный директор,,Михайловский Сергей Николаевич,,"117218, Г.Москва, УЛ. КРЖИЖАНОВСКОГО, Д.29, К.1","г Москва, ул Кржижановского, д 29 к 1",ACTIVE,2022-11-13 03:00:00.000,2002-12-18 03:00:00.000,,false,autoloaded by counteragentcreate.py,
96,ЛУКАВТО,"7702415143",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКАВТО""",LEGAL,MAIN,"1177746315603",2017-03-29 03:00:00.000,,,,Генеральный директор,,Иванов Роман Николаевич,,"115035, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЗАМОСКВОРЕЧЬЕ, УЛ БОЛЬШАЯ ОРДЫНКА, Д. 1","г Москва, ул Большая Ордынка, д 1",ACTIVE,2022-12-05 03:00:00.000,2017-03-29 03:00:00.000,,false,autoloaded by counteragentcreate.py,
97,НЕФТЯНАЯ КОМПАНИЯ ЛУКОЙЛ,"7708004767",ПАО,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЯНАЯ КОМПАНИЯ ""ЛУКОЙЛ""",LEGAL,MAIN,"1027700035769",2002-07-17 03:00:00.000,,,,Главный исполнительный директор,,Воробьев Вадим Николаевич,,"101000, Г.Москва, Б-Р СРЕТЕНСКИЙ, Д.11","г Москва, Сретенский б-р, д 11",ACTIVE,2023-01-02 03:00:00.000,1993-04-22 03:00:00.000,,false,autoloaded by counteragentcreate.py,
98,ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ,"8608048498",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""",LEGAL,MAIN,"1028601441978",2002-10-21 03:00:00.000,,,,Генеральный директор,,Зубарев Владислав Петрович,,"628484, Ханты-Мансийский автономный округ - Югра, Г. КОГАЛЫМ, УЛ. ПРИБАЛТИЙСКАЯ, Д.20","Ханты-Мансийский Автономный округ - Югра, г Когалым, ул Прибалтийская, д 20",ACTIVE,2023-04-12 03:00:00.000,1997-01-30 03:00:00.000,,false,autoloaded by counteragentcreate.py,
99,ЛУКОЙЛ-КОМИ,"1106014140",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-КОМИ""",LEGAL,MAIN,"1021100895760",2002-07-16 03:00:00.000,,,,Генеральный директор,,Голованев Александр Сергеевич,,"169710, Республика Коми, Г. УСИНСК, УЛ. НЕФТЯНИКОВ, Д.31","Респ Коми, г Усинск, ул Нефтяников, д 31",ACTIVE,2023-04-10 03:00:00.000,2002-07-16 03:00:00.000,,false,autoloaded by counteragentcreate.py,
100,ЛУКОЙЛ-МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПОДДЕРЖКИ БИЗНЕСА,"7709840210",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПОДДЕРЖКИ БИЗНЕСА""",LEGAL,MAIN,"1097746651166",2009-10-23 03:00:00.000,,,,Генеральный директор,,Корунов Александр Александрович,,"400066, Волгоградская область, Г. ВОЛГОГРАД, УЛ. КОМСОМОЛЬСКАЯ, Д. 16","г Волгоград, ул Комсомольская, д 16",ACTIVE,2023-04-12 03:00:00.000,2009-10-23 03:00:00.000,,false,autoloaded by counteragentcreate.py,
101,ЛУКОЙЛ-ПЕРМЬ,"5902201970",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ПЕРМЬ""",LEGAL,MAIN,"1035900103997",2003-12-25 03:00:00.000,,,,Генеральный директор,,Третьяков Олег Владимирович,,"614068, Пермский край, Г. ПЕРМЬ, УЛ. ЛЕНИНА, Д.62","г Пермь, ул Ленина, д 62",ACTIVE,2023-04-14 03:00:00.000,2003-12-25 03:00:00.000,,false,autoloaded by counteragentcreate.py,
102,ЛУКОЙЛ-ТЕХНОЛОГИИ,"9709038314",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ТЕХНОЛОГИИ""",LEGAL,MAIN,"1187746909129",2018-11-01 03:00:00.000,,,,Генеральный директор,,Кренкель Эрнст Теодорович,,"109028, Г.Москва, Б-Р ПОКРОВСКИЙ, Д. 3, СТР. 1, ЭТ 2 ПОМ I КОМ 124","г Москва, Покровский б-р, д 3 стр 1, помещ I ком 124",ACTIVE,2023-03-03 03:00:00.000,2018-11-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
103,ЛУКОЙЛ-ЦЕНТРНЕФТЕПРОДУКТ,"7701285928",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ЦЕНТРНЕФТЕПРОДУКТ""",LEGAL,MAIN,"1027700000679",2002-07-02 03:00:00.000,,,,Генеральный директор,,Гаврилец Андрей Иванович,,"129110, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ МЕЩАНСКИЙ, ПР-КТ ОЛИМПИЙСКИЙ, Д. 5, СТР. 1","г Москва, Олимпийский пр-кт, д 5 стр 1",ACTIVE,2023-03-28 03:00:00.000,2002-01-28 03:00:00.000,,false,autoloaded by counteragentcreate.py,
104,ЛУКОЙЛ-ЭНЕРГОСЕРВИС,"5030040730",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ЭНЕРГОСЕРВИС""",LEGAL,MAIN,"1025003747614",2002-07-30 03:00:00.000,,,,,,,,"127055, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТВЕРСКОЙ, УЛ СУЩЁВСКИЙ ВАЛ, Д. 2, ЭТАЖ 5, ПОМЕЩ. 23","г Москва, ул Сущёвский Вал, д 2, помещ 23",REORGANIZING,2023-01-23 03:00:00.000,2002-04-02 03:00:00.000,,false,autoloaded by counteragentcreate.py,
105,ЛУН-ИНВЕСТ,"7708395493",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУН-ИНВЕСТ""",LEGAL,MAIN,"1217700194865",2021-04-21 03:00:00.000,,,,Генеральный директор,,Зенкин Сергей Владимирович,,"107045, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КРАСНОСЕЛЬСКИЙ, ПЕР КОСТЯНСКИЙ, Д. 4","г Москва, Костянский пер, д 4",ACTIVE,2023-03-01 03:00:00.000,2021-04-21 03:00:00.000,,false,autoloaded by counteragentcreate.py,
106,МАВИКОМ-ОФИС,"7715984789",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАВИКОМ-ОФИС""",LEGAL,MAIN,"5137746154850",2013-12-04 03:00:00.000,,,,Генеральный директор,,Комнатный Андрей Александрович,,"127015, ГОРОД МОСКВА, УЛ. НОВОДМИТРОВСКАЯ, Д. 2, К. 6, ЭТ/ПОМ/ОФ 8/82/84Ф","г Москва, ул Новодмитровская, д 2 к 6, помещ 82 офис 84Ф",ACTIVE,2021-10-21 03:00:00.000,2013-12-04 03:00:00.000,,false,autoloaded by counteragentcreate.py,
107,МАДАРЕРА,"5032274878",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАДАРЕРА""",LEGAL,MAIN,"1175024010380",2017-03-07 03:00:00.000,,,,Генеральный директор,,Талачев Ярослав Александрович,,"119334, Г.Москва, ПР-КТ ЛЕНИНСКИЙ, Д. 38А, К. 3, ПОМЕЩ. 10","г Москва, Ленинский пр-кт, д 38А к 3, помещ 10",ACTIVE,2023-03-09 03:00:00.000,2017-03-07 03:00:00.000,,false,autoloaded by counteragentcreate.py,
109,МАРКЕТ,"7715980142",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРКЕТ""",LEGAL,MAIN,"5137746000607",2013-10-28 03:00:00.000,,,,Генеральный директор,,Столяров Павел Алексеевич,,"127015, Г.Москва, УЛ. БОЛЬШАЯ НОВОДМИТРОВСКАЯ, Д. 12, СТР. 1, ЭТ 6 КОМ 12 (ЧАСТЬ)","127015, Г.Москва, УЛ. БОЛЬШАЯ НОВОДМИТРОВСКАЯ, Д. 12, СТР. 1, ЭТ 6 КОМ 12 (ЧАСТЬ)",ACTIVE,2020-09-17 03:00:00.000,2013-10-28 03:00:00.000,,false,autoloaded by counteragentcreate.py,
110,МД,"7713654778",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МД""",LEGAL,MAIN,"1087746705045",2008-06-02 03:00:00.000,,,,Генеральный директор,,Кузубов Дмитрий Юрьевич,,"127238, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТИМИРЯЗЕВСКИЙ, ПРОЕЗД 3-Й НИЖНЕЛИХОБОРСКИЙ, Д. 1А, ПОМЕЩ. 1/1","г Москва, 3-й Нижнелихоборский проезд, д 1А, помещ 1",ACTIVE,2023-04-05 03:00:00.000,2008-06-02 03:00:00.000,,false,autoloaded by counteragentcreate.py,
111,ИНСТИТУТ УПРАВЛЕНИЯ МЕДИЦИНСКИМИ РИСКАМИ И ОПТИМИЗАЦИИ СТРАХОВАНИЯ,"7709239289",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТИТУТ УПРАВЛЕНИЯ МЕДИЦИНСКИМИ РИСКАМИ И ОПТИМИЗАЦИИ СТРАХОВАНИЯ""",LEGAL,MAIN,"1027739106482",2002-08-22 03:00:00.000,,,,Генеральный директор,,Султанов Фуад Рафаилович,,"115035, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЯКИМАНКА, НАБ КАДАШЁВСКАЯ, Д. 30, ПОМЕЩ. 1/1","г Москва, Кадашёвская наб, д 30, помещ 1",ACTIVE,2023-04-13 03:00:00.000,1998-01-12 03:00:00.000,,false,autoloaded by counteragentcreate.py,
112,ФЕДЕРАЛЬНАЯ АНТИМОНОПОЛЬНАЯ СЛУЖБА,"7703516539",ФКП,ФЕДЕРАЛЬНАЯ АНТИМОНОПОЛЬНАЯ СЛУЖБА,LEGAL,MAIN,"1047796269663",2004-04-19 03:00:00.000,,,,Руководитель,,Шаскольский Максим Алексеевич,,"123001, Г.Москва, УЛ. САДОВАЯ-КУДРИНСКАЯ, Д. 11","г Москва, ул Садовая-Кудринская, д 11",ACTIVE,2020-12-24 03:00:00.000,2004-04-19 03:00:00.000,,false,autoloaded by counteragentcreate.py,
114,М-ИНВЕСТ,"7743553167",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""М-ИНВЕСТ""",LEGAL,MAIN,"1057746395079",2005-03-10 03:00:00.000,,,,Генеральный директор,,Машенин Андрей Александрович,,"Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ГОЛОВИНСКИЙ, Б-Р КРОНШТАДТСКИЙ, Д. 3А, ЭТАЖ 4, ПОМЕЩ. 401","г Москва, Кронштадтский б-р, д 3А, помещ 401",ACTIVE,2022-11-18 03:00:00.000,2005-03-10 03:00:00.000,,false,autoloaded by counteragentcreate.py,
115,ЧАСТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ МОСКОВСКИЙ ИНСТИТУТ ЭНЕРГОБЕЗОПАСНОСТИ И ЭНЕРГОСБЕРЕЖЕНИЯ,"7719227050",ЧУ,"ЧАСТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ИНСТИТУТ ЭНЕРГОБЕЗОПАСНОСТИ И ЭНЕРГОСБЕРЕЖЕНИЯ""",LEGAL,MAIN,"1027739490976",2002-10-31 03:00:00.000,,,,Ректор,,Аванесов Валерий Михайлович,,"105425, ГОРОД МОСКВА, ПР-Д ЩЁЛКОВСКИЙ, Д. 13А","г Москва, Щёлковский проезд, д 13А",ACTIVE,2022-11-05 03:00:00.000,2001-08-30 03:00:00.000,,false,autoloaded by counteragentcreate.py,
116,МЕЖДУНАРОДНЫЙ КОНСУЛЬТАТИВНО-ПРАВОВОЙ ЦЕНТР,"7729448932",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЖДУНАРОДНЫЙ КОНСУЛЬТАТИВНО-ПРАВОВОЙ ЦЕНТР""",LEGAL,MAIN,"1157746177929",2015-03-11 03:00:00.000,,,,Генеральный директор,,Винокуров Дмитрий Михайлович,,"117630, ГОРОД МОСКВА, УЛ. ОБРУЧЕВА, Д. 23, К. 3, ЭТ 11 ПОМ XXV КОМ 4И","г Москва, ул Обручева, д 23 к 3, помещ XXV ком 4И",ACTIVE,2021-06-17 03:00:00.000,2015-03-11 03:00:00.000,,false,autoloaded by counteragentcreate.py,
117,ГОЗНАК,"7813252159",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОЗНАК""",LEGAL,MAIN,"1167847225281",2016-05-19 03:00:00.000,,,,Генеральный директор,,Трачук Аркадий Владимирович,,"197046, Г.Санкт-Петербург, ТЕР ПЕТРОПАВЛОВСКАЯ КРЕПОСТЬ, Д. 3, ЛИТЕР Г","г Санкт-Петербург, тер Петропавловская Крепость, д 3 литера г",ACTIVE,2023-02-27 03:00:00.000,2016-05-19 03:00:00.000,,false,autoloaded by counteragentcreate.py,
118,МОБИЛЬНЫЙ ШРЕДЕР,"7727738812",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОБИЛЬНЫЙ ШРЕДЕР""",LEGAL,MAIN,"1117746035208",2011-01-25 03:00:00.000,,,,Генеральный директор,,Голуб Дмитрий Сергеевич,,"117186, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КОТЛОВКА, УЛ НАГОРНАЯ, Д. 7А, ПОМЕЩ. 27","г Москва, ул Нагорная, д 7А, помещ 27",ACTIVE,2021-06-09 03:00:00.000,2011-01-25 03:00:00.000,,false,autoloaded by counteragentcreate.py,
119,МОСВОДОКАНАЛ,"7701984274",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""",LEGAL,MAIN,"1127747298250",2012-12-29 03:00:00.000,,,,"Генеральный директор ао ""мосводоканал""",,Пономаренко Александр Михайлович,,"105005, Г.Москва, ПЕР. ПЛЕТЕШКОВСКИЙ, Д.2","г Москва, Плетешковский пер, д 2",ACTIVE,2023-03-03 03:00:00.000,2012-12-29 03:00:00.000,,false,autoloaded by counteragentcreate.py,
120,ГУП ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ МОСКОВСКИХ ВОДООТВОДЯЩИХ СИСТЕМ МОСВОДОСТОК,"7705013033",ГУП,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ МОСКОВСКИХ ВОДООТВОДЯЩИХ СИСТЕМ ""МОСВОДОСТОК""",LEGAL,MAIN,"1027739015567",2002-07-25 03:00:00.000,,,,Генеральный директор,,Ишханян Константин Рафаэлович,,"119017, Г.Москва, УЛ. НОВОКУЗНЕЦКАЯ, Д. 26/8, СТР. 1","г Москва, ул Новокузнецкая, д 26/8 стр 1",ACTIVE,2023-01-20 03:00:00.000,1992-02-12 03:00:00.000,,false,autoloaded by counteragentcreate.py,
121,МОСГАЗ,"7709919968",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСГАЗ""",LEGAL,MAIN,"1127747295686",2012-12-28 03:00:00.000,,,,Генеральный директор,,Гасангаджиев Гасан Гизбуллагович,,"105120, Г.Москва, ПЕР. МРУЗОВСКИЙ, Д. 11, СТР. 1","г Москва, Мрузовский пер, д 11 стр 1",ACTIVE,2023-03-13 03:00:00.000,2012-12-28 03:00:00.000,,false,autoloaded by counteragentcreate.py,
122,МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ,"7720518494",ПАО,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",LEGAL,MAIN,"1047796974092",2004-12-16 03:00:00.000,,,,,,,,"119526, Г.Москва, ПР-КТ ВЕРНАДСКОГО, Д. 101, К. 3, ЭТ/КАБ 20/2017","г Москва, пр-кт Вернадского, д 101 к 3, офис 2017",ACTIVE,2023-02-28 03:00:00.000,2004-12-16 03:00:00.000,,false,autoloaded by counteragentcreate.py,
